标题,地址,户型,关注,总价,均价,房源标签,房源链接
水木澜山居南向两房 客厅赠送大阳台 安静08年较新小区,水木澜山居  | 2室1厅 | 74.23平米 | 南 | 简装,低楼层(共31层)2008年建板塔结合  -  梅林,55人关注 / 共108次带看 / 2个月以前发布,525万,单价70727元/平米,距离9号线孖岭站565米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101042095.html
优选！万象天成精装两房 可改三房 南北通透 满五红本,万象天成  | 2室2厅 | 87.36平米 | 东南 | 其他,中楼层(共28层)2010年建板塔结合  -  中心城东,312人关注 / 共55次带看 / 2个月以前发布,285万,单价32624元/平米,距离3号线(龙岗线)龙城广场站1087米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101078542.html
真正的笋盘，只卖到1月中旬，南向采光好，不靠马路,西城上筑花园  | 3室2厅 | 102.38平米 | 南 | 精装,低楼层(共33层)2006年建塔楼  -  宝安中心,179人关注 / 共144次带看 / 一年前发布,691万,单价67494元/平米,距离1号线(罗宝线）宝安中心站625米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100553752.html
四季丽晶户型方正 装修好 厅出阳台 2011年小区,四季丽晶  | 2室1厅 | 56.94平米 | 北 | 其他,中楼层(共28层)2011年建板塔结合  -  南头,6人关注 / 共3次带看 / 5天以前发布,425万,单价74640元/平米,距离1号线(罗宝线）桃园站625米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101170301.html
布吉地铁口 龙珠花园精装两房 南向 满五唯一随时可看,龙珠花园  | 2室1厅 | 60.4平米 | 南 | 精装,低楼层(共30层)1997年建板塔结合  -  布吉站,32人关注 / 共13次带看 / 8天以前发布,242万,单价40067元/平米,距离3号线(龙岗线)布吉站586米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101166912.html
布吉信义两房，中间楼层，视野无遮挡，满五红本税少。,信义假日名城三期菁华园  | 2室1厅 | 64.05平米 | 北 | 其他,中楼层(共18层)2003年建板塔结合  -  布吉站,60人关注 / 共53次带看 / 5个月以前发布,288万,单价44965元/平米,距离5号线(环中线)百鸽笼站950米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100895432.html
福田core岗厦地铁口1房1厅，厅出阳台户型方正近公园,润恒大厦  | 1室2厅 | 43.48平米 | 北 | 精装,高楼层(共28层)2004年建塔楼  -  福田中心,123人关注 / 共48次带看 / 1个月以前发布,230万,单价52898元/平米,距离1号线(罗宝线）岗厦站436米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101088741.html
小区中间位置，南北通透，看游泳池视野好,万科四季花城三期  | 3室2厅 | 105.69平米 | 南 北 | 精装,高楼层(共6层)2001年建板楼  -  坂田,86人关注 / 共60次带看 / 7个月以前发布,485万,单价45889元/平米,距离5号线(环中线)五和站751米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100817072.html
徽王府 3室2厅 420万,徽王府  | 3室2厅 | 112.8平米 | 南 | 其他,中楼层(共18层)2008年建板楼  -  中心城北,17人关注 / 共9次带看 / 14天以前发布,420万,单价37235元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101157977.html
前海花园 精装修 中楼层 户型方正,前海花园三期  | 3室1厅 | 81.4平米 | 东南 | 其他,中楼层(共17层)2004年建板塔结合  -  前海,44人关注 / 共42次带看 / 30天以前发布,560万,单价68797元/平米,距离1号线(罗宝线）大新站793米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101133271.html
凯伦花园(南北通透)大三房两卫。楼层好采光佳！急售！,凯伦花园  | 3室2厅 | 99.34平米 | 南 北 | 简装 | 无电梯,中楼层(共8层)1997年建板楼  -  梅林,169人关注 / 共53次带看 / 4个月以前发布,440万,单价44293元/平米,距离4号线(龙华线)莲花北站816米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100957168.html
龙岗新亚洲花园 标准三房厅出阳台 高楼层视野开阔,新亚洲花园  | 3室2厅 | 110.05平米 | 北 | 精装,高楼层(共11层)2001年建板塔结合  -  中心城南,26人关注 / 共36次带看 / 3个月以前发布,390万,单价35439元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101008808.html
布吉南景豪庭 精装三房 南向看花园 安静 适合住家,南景豪庭  | 3室1厅 | 76.19平米 | 东南 | 精装,高楼层(共21层)2003年建塔楼  -  布吉大芬,188人关注 / 共35次带看 / 1个月以前发布,310万,单价40688元/平米,距离3号线(龙岗线)大芬站737米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101089662.html
高楼层大两房可改三房 住家安静 红本在手 满五唯一 ！,福民大厦  | 2室2厅 | 80.37平米 | 东北 | 简装,高楼层(共30层)2000年建板塔结合  -  皇岗,14人关注 / 共36次带看 / 4个月以前发布,400万,单价49770元/平米,距离4号线(龙华线)福民站386米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100985739.html
深港一号南向两房高楼层看房方便精装修税费少视野开阔,皇御苑四期  | 2室1厅 | 59.61平米 | 南 | 精装,中楼层(共30层)2012年建板塔结合  -  皇岗,67人关注 / 共45次带看 / 2个月以前发布,380万,单价63748元/平米,距离7号线皇岗口岸站650米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101055723.html
长城花园无增值税三居室百花+实验安静红本在手无个税,长城花园  | 3室1厅 | 91.98平米 | 南 北 | 简装,低楼层(共17层)1988年建塔楼  -  百花,10人关注 / 共4次带看 / 8天以前发布,790万,单价85889元/平米,距离3号线(龙岗线)华新站899米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101166789.html
朝南 满五年唯一 采光通风好 居家小二房 诚心出售,国展苑  | 2室1厅 | 54.9平米 | 南 | 精装,高楼层(共35层)1999年建塔楼  -  布吉关,26人关注 / 共13次带看 / 26天以前发布,208万,单价37888元/平米,距离3号线(龙岗线)布吉站1133米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101140929.html
大运新城   3.76米厅宽 精装修  东南向 满2 高层,星河时代  | 3室2厅 | 85.73平米 | 东南 | 精装,高楼层(共33层)2012年建塔楼  -  大运新城,68人关注 / 共64次带看 / 7个月以前发布,470万,单价54824元/平米,距离3号线(龙岗线)大运站1036米 | 房本满两年,https://sz.lianjia.com/ershoufang/105100816537.html
花园连接地铁天虹 住家保养好 没有个税 视野开阔,合正汇一城  | 3室2厅 | 82.55平米 | 西北 | 精装,中楼层(共31层)2012年建板塔结合  -  西乡,32人关注 / 共7次带看 / 15天以前发布,529万,单价64083元/平米,距离1号线(罗宝线）西乡站210米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101157169.html
蔚蓝海岸4期 2房 满五年家庭唯一 税费少,蔚蓝海岸南山4期  | 2室1厅 | 65.34平米 | 东北 | 精装 | 有电梯,高楼层(共17层)2004年建塔楼  -  后海,22人关注 / 共26次带看 / 2个月以前发布,610万,单价93358元/平米,距离2号线(蛇口线)登良站769米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101053466.html
布吉万科二期 实用小三房 百鸽笼地铁口 业主诚心放卖,万科红二期  | 3室2厅 | 67.94平米 | 北 | 精装,低楼层(共31层)2013年建板楼  -  布吉站,65人关注 / 共24次带看 / 1个月以前发布,390万,单价57404元/平米,距离3号线(龙岗线)布吉站1168米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101098355.html
7号线桃源村站 中爱花园 两房间朝南 税费少交易快,中爱花园  | 2室1厅 | 57.23平米 | 南 | 其他,中楼层(共15层)2003年建板楼  -  西丽,72人关注 / 共42次带看 / 7个月以前发布,350万,单价61157元/平米,距离7号线桃源村站246米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100798623.html
漾日湾畔三改二房 满五年 精装修  看房随时,漾日湾畔  | 2室2厅 | 95.69平米 | 东北 | 精装,高楼层(共32层)2004年建板塔结合  -  后海,91人关注 / 共203次带看 / 一年前发布,1050万,单价109730元/平米,距离2号线(蛇口线)后海站406米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100514038.html
星河时代 东南向 看小区花园 满两年 住家精装修保养好,星河时代  | 3室2厅 | 89.78平米 | 东 | 精装,中楼层(共33层)2012年建塔楼  -  大运新城,139人关注 / 共263次带看 / 10个月以前发布,479万,单价53353元/平米,距离3号线(龙岗线)大运站1036米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100625053.html
笋盘就这套，西城高楼层看花园，最安静楼栋。,西城上筑花园  | 2室2厅 | 74.56平米 | 北 | 其他,中楼层(共33层)2006年建塔楼  -  宝安中心,84人关注 / 共99次带看 / 2个月以前发布,489万,单价65585元/平米,距离1号线(罗宝线）宝安中心站596米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101032720.html
东方明珠城 厅出阳台两房 满2年 看房预约 诚心出售,东方明珠城  | 2室2厅 | 70.37平米 | 东 | 其他,低楼层(共32层)2007年建板塔结合  -  中心城东,159人关注 / 共111次带看 / 4个月以前发布,259万,单价36806元/平米,距离3号线(龙岗线)龙城广场站371米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105100984781.html
看泳池 位置安静  南北通透  带30平露台 遇见是缘分,万科四季花城五期  | 4室2厅 | 119.19平米 | 南 北 | 其他,低楼层(共9层)2002年建板塔结合  -  民治,22人关注 / 共42次带看 / 2个月以前发布,630万,单价52857元/平米,距离5号线(环中线)五和站1048米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101060769.html
林海山庄朝南方正两房 卧室带飘窗高楼层,林海山庄  | 2室2厅 | 77.28平米 | 南 | 精装,高楼层(共13层)2001年建塔楼  -  梅林,226人关注 / 共22次带看 / 10个月以前发布,395万,单价51113元/平米,距离9号线梅景站692米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100609163.html
红桂皇冠精装两房  户型方正 客厅出阳台，东南朝向,红桂皇冠  | 2室1厅 | 52.47平米 | 东南 | 其他,中楼层(共26层)2007年建板塔结合  -  地王,259人关注 / 共34次带看 / 6个月以前发布,268万,单价51077元/平米,距离3号线(龙岗线)红岭站581米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105100846192.html
满五唯一免个税 安静通透明亮精装南北两房 方正实用,长城花园  | 2室1厅 | 83.67平米 | 南 | 精装,中楼层(共17层)1988年建板楼  -  百花,5人关注 / 共0次带看 / 7天以前发布,710万,单价84858元/平米,距离3号线(龙岗线)华新站847米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101167244.html
月朗苑朝东看花园大三房位置安静诚心出售,中海月朗苑  | 3室1厅 | 102.63平米 | 东 | 其他,低楼层(共11层)2006年建板塔结合  -  坂田,76人关注 / 共64次带看 / 2个月以前发布,448万,单价43652元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101076737.html
龙岗天虹旁愉园新村标准三房 低楼层看花园 红本在手,愉园新村  | 3室2厅 | 96.16平米 | 南 | 简装,低楼层(共7层)1997年建板塔结合  -  中心城南,52人关注 / 共54次带看 / 3个月以前发布,299万,单价31095元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101023863.html
万象天成  中高楼层 看花园  客厅出阳台,万象天成  | 2室2厅 | 70.26平米 | 西南 | 其他,中楼层(共26层)2010年建板塔结合  -  中心城东,71人关注 / 共45次带看 / 2个月以前发布,248万,单价35298元/平米,房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101063179.html
阳光海 高楼层送内廷户型  满五年红本！,泰华阳光海小区  | 4室2厅 | 102.44平米 | 南 | 精装,高楼层(共25层)2008年建板塔结合  -  碧海,38人关注 / 共24次带看 / 1个月以前发布,750万,单价73214元/平米,距离11号线碧海湾站119米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101119842.html
大芬油画苑南向两房 中间层，单价低，满五唯一红本,大芬油画苑  | 3室1厅 | 88.19平米 | 东南 | 精装,中楼层(共21层)2010年建板塔结合  -  布吉南岭,137人关注 / 共21次带看 / 7个月以前发布,290万,单价32884元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100833990.html
3+1百变户型，朝南看小区，视野开阔，带私家车位,招商澜园  | 3室1厅 | 89.23平米 | 东 南 | 简装,低楼层(共23层)2010年建板塔结合  -  观澜,19人关注 / 共11次带看 / 9天以前发布,413万,单价46285元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101164956.html
春树里满五年唯一红本在手，南向三房。近地铁,春树里  | 3室2厅 | 94.34平米 | 南 | 简装,中楼层(共18层)2006年建板塔结合  -  蛇口,14人关注 / 共9次带看 / 21天以前发布,700万,单价74200元/平米,距离2号线(蛇口线)东角头站444米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101147820.html
锦绣江南大三房  看花园景观  南北通风  红本在手,锦绣江南一期  | 3室2厅 | 86.51平米 | 南 北 | 其他,中楼层(共6层)2003年建板楼  -  深圳北站,63人关注 / 共29次带看 / 1个月以前发布,398万,单价46007元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101130314.html
公园大地 客厅出阳台 精装4房,公园大地四期  | 4室2厅 | 121.38平米 | 东南 | 精装,高楼层(共18层)2009年建板塔结合  -  中心城南,3人关注 / 共2次带看 / 15天以前发布,720万,单价59318元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101156606.html
星河世纪 2室1厅 500万,星河世纪  | 2室1厅 | 64.2平米 | 东南 | 精装,中楼层(共32层)2004年建板塔结合  -  福田中心,165人关注 / 共19次带看 / 6个月以前发布,500万,单价77882元/平米,距离1号线(罗宝线）岗厦站311米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105100844054.html
万科红一期 东南向 正规两房 地铁口,万科红一期  | 2室1厅 | 60.4平米 | 东南 | 其他,中楼层(共31层)2011年建板塔结合  -  布吉站,100人关注 / 共39次带看 / 23天以前发布,320万,单价52981元/平米,距离5号线(环中线)百鸽笼站528米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101144601.html
云顶嘉园 标准两室两厅 安静 视野好 楼层好 看房方便,黄金大厦  | 2室2厅 | 64.4平米 | 东北 | 精装,高楼层(共32层)2011年建板楼  -  新安,20人关注 / 共24次带看 / 2个月以前发布,340万,单价52796元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101069522.html
厅出阳台，朝花园，安静，户型方正,港丽豪园  | 3室2厅 | 99.64平米 | 北 | 精装,高楼层(共16层)2003年建板塔结合  -  福田中心,45人关注 / 共20次带看 / 1个月以前发布,710万,单价71257元/平米,距离1号线(罗宝线）岗厦站666米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101089176.html
"一览众楼低,观潮听海风,赠送30有方，卧室全落地窗。",玉湖湾  | 5室2厅 | 89.11平米 | 西南 | 精装,高楼层(共30层)2011年建板塔结合  -  碧海,21人关注 / 共7次带看 / 13天以前发布,688万,单价77208元/平米,距离11号线碧海湾站865米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101160531.html
福民地铁口 满5年唯一  3条地铁线汇集 通风采光充足,紫光名苑  | 2室1厅 | 65.94平米 | 南 | 精装,低楼层(共31层)2001年建板塔结合  -  皇岗,177人关注 / 共55次带看 / 3个月以前发布,358万,单价54292元/平米,距离4号线(龙华线)福民站254米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100999362.html
高层海景房 南北向，采光充足  赠入户大花园,金泓凯旋城二期  | 4室2厅 | 142.16平米 | 南 北 | 精装 | 有电梯,中楼层(共28层)2008年建板塔结合  -  宝安中心,104人关注 / 共79次带看 / 8个月以前发布,1080万,单价75971元/平米,距离1号线(罗宝线）新安站629米 | 房本满五年,https://sz.lianjia.com/ershoufang/105100747498.html
经理推荐！带公园小区！水贝IBC。小区最笋一套！,雍翠华府  | 2室2厅 | 68.06平米 | 南 | 精装,中楼层(共35层)2003年建板塔结合  -  布心,163人关注 / 共30次带看 / 3个月以前发布,360万,单价52895元/平米,距离3号线(龙岗线)水贝站982米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101031640.html
东方明珠城 三阳台 满2年 龙城广场地铁口 诚心出售,东方明珠城  | 2室2厅 | 70.94平米 | 西 | 其他,中楼层(共32层)2007年建板塔结合  -  中心城东,191人关注 / 共59次带看 / 3个月以前发布,255万,单价35946元/平米,距离3号线(龙岗线)龙城广场站484米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101026180.html
布吉大世纪水山缘实用两房，视野开阔采光好，满五税少,大世纪水山缘  | 2室1厅 | 56.56平米 | 东北 | 简装,高楼层(共11层)2005年建塔楼  -  布吉南岭,25人关注 / 共20次带看 / 2个月以前发布,242万,单价42787元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101048170.html
东方明珠城 三阳台 满2年 龙城广场地铁口 诚心出售,东方明珠城  | 2室2厅 | 70.94平米 | 西 | 其他,中楼层(共32层)2007年建板塔结合  -  中心城东,191人关注 / 共59次带看 / 3个月以前发布,255万,单价35946元/平米,距离3号线(龙岗线)龙城广场站484米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101026180.html
新世界山月居经典跃式 南向看莲花山景观 视野开阔,新世界山月居  | 4室1厅 | 170.75平米 | 西南 | 精装,低楼层(共31层)2001年建板塔结合  -  莲花,7人关注 / 共0次带看 / 7天以前发布,1100万,单价64422元/平米,距离4号线(龙华线)莲花北站327米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101167466.html
缇香名苑 5室1厅 1425万,缇香名苑  | 5室1厅 | 162.05平米 | 南 | 精装,低楼层(共27层)2004年建板塔结合  -  景田,1人关注 / 共0次带看 / 4天以前发布,1425万,单价87936元/平米,距离9号线香梅站156米 | 房本满五年,https://sz.lianjia.com/ershoufang/105101171463.html
大社区大露台，安静看花园，40万精装修8成新。,新锦安雅园  | 3室2厅 | 116.6平米 | 东南 | 其他,低楼层(共14层)2001年建板楼  -  翻身,14人关注 / 共1次带看 / 3天以前发布,690万,单价59177元/平米,房本满五年,https://sz.lianjia.com/ershoufang/105101172347.html
锦绣江南四期 电梯高扩两房 带车位 朝南送大入户,锦绣江南四期  | 2室2厅 | 79.16平米 | 南 | 其他,低楼层(共18层)2006年建塔楼  -  深圳北站,45人关注 / 共27次带看 / 2个月以前发布,368万,单价46489元/平米,房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101040944.html
城市天地 精装修南向 一房一厅 带阳台,城市天地广场  | 1室1厅 | 50.59平米 | 南 | 其他,高楼层(共39层)2005年建板塔结合  -  万象城,14人关注 / 共66次带看 / 2个月以前发布,260万,单价51394元/平米,距离9号线鹿丹村站644米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101075373.html
京基东方都会一房 新秀黄贝岭 生活交通便利 户型方正,京基东方都会  | 1室1厅 | 34.99平米 | 南 | 其他,高楼层(共32层)2004年建塔楼  -  新秀,68人关注 / 共36次带看 / 2个月以前发布,176万,单价50301元/平米,距离2号线(蛇口线)新秀站679米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101067179.html
钰龙园东向改两房，厅出阳台，端头位置，紫气东来。,英达钰龙园  | 2室1厅 | 43.09平米 | 东 | 简装,高楼层(共30层)2004年建板塔结合  -  南头,69人关注 / 共44次带看 / 1个月以前发布,300万,单价69622元/平米,距离1号线(罗宝线）桃园站1130米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101092581.html
皇御苑二期 2室2厅 420万,皇御苑二期  | 2室2厅 | 63.75平米 | 西北 | 其他,高楼层(共32层)2003年建板塔结合  -  皇岗,30人关注 / 共37次带看 / 2个月以前发布,420万,单价65883元/平米,距离7号线皇岗口岸站991米 | 房本满两年,https://sz.lianjia.com/ershoufang/105101063785.html
赠送约50平露台 复式 双地铁 满五年 可改四房,中熙香缇湾  | 3室2厅 | 89.21平米 | 西北 | 精装 | 有电梯,低楼层(共25层)2009年建板塔结合  -  西乡,117人关注 / 共52次带看 / 2个月以前发布,688万,单价77122元/平米,距离1号线(罗宝线）西乡站364米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101076339.html
信义嘉御山5期 平层四房 厅出阳台位置安静 看房有钥匙,信义嘉御山5期  | 4室2厅 | 88.84平米 | 东南 南 | 其他,高楼层(共39层)2016年建  -  坂田,28人关注 / 共29次带看 / 1个月以前发布,585万,单价65849元/平米,随时看房,https://sz.lianjia.com/ershoufang/105101115347.html
水木澜山安静三房、户型方正、超高赠送、双卫！,水木澜山居  | 3室2厅 | 88.74平米 | 东北 | 精装 | 有电梯,中楼层(共31层)2008年建板塔结合  -  梅林,43人关注 / 共44次带看 / 1个月以前发布,640万,单价72121元/平米,距离9号线孖岭站565米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101103444.html
振业峦山谷二期（振业天峦） 精装三房  满二税费少,振业天峦  | 3室2厅 | 89.3平米 | 东南 | 其他,低楼层(共33层)2014年建板塔结合  -  龙岗宝荷,33人关注 / 共18次带看 / 25天以前发布,300万,单价33595元/平米,房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101142201.html
看花园 崭新精装朝南3房2卫  满两年 诚心出售,君成雍和园  | 3室2厅 | 88.4平米 | 南 | 其他,低楼层(共44层)2016年建板塔结合  -  西乡,24人关注 / 共19次带看 / 24天以前发布,530万,单价59955元/平米,房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101143861.html
大运新城 精装两房 端头户型 满两年 随时可以看房,THETOWN乐城  | 2室1厅 | 51.56平米 | 西北 | 精装,中楼层(共33层)2014年建塔楼  -  大运新城,40人关注 / 共21次带看 / 17天以前发布,230万,单价44609元/平米,距离3号线(龙岗线)荷坳站593米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101154448.html
桂芳园东南向精致两房，户型方正，看花园安静宜居,桂芳园一期  | 2室2厅 | 61.79平米 | 东 东南 | 其他,中楼层(共6层)2001年建板楼  -  布吉大芬,7人关注 / 共10次带看 / 16天以前发布,275万,单价44506元/平米,距离3号线(龙岗线)丹竹头站748米 | 房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101156205.html
罗湖今日家园 布心地铁口翠园  红本 东南向 急售 ！,今日家园  | 4室2厅 | 115.92平米 | 东南 | 精装 | 有电梯,高楼层(共25层)2002年建板塔结合  -  布心,17人关注 / 共46次带看 / 2个月以前发布,590万,单价50898元/平米,距离5号线(环中线)布心站140米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101076079.html
龙岗区同创九著花园，改善四房，朝南看花园，双平台,同创九著院  | 4室1厅 | 88.82平米 | 南 | 精装,低楼层(共35层)2016年建  -  中心城北,20人关注 / 共19次带看 / 1个月以前发布,410万,单价46161元/平米,房本满两年 | 随时看房,https://sz.lianjia.com/ershoufang/105101100214.html
此房满两年，高楼层，西南朝向，视野无遮挡,银座金钻  | 2室1厅 | 55.47平米 | 西南 | 其他,中楼层(共30层)2003年建板塔结合  -  春风路,71人关注 / 共18次带看 / 18天以前发布,232万,单价41825元/平米,距离1号线(罗宝线）国贸站377米 | 房本满五年 | 随时看房,https://sz.lianjia.com/ershoufang/105101153121.html
兴达华府 精装修两房 满两年免增值税 双阳台,兴达华府  | 2室2厅 | 83.84平米 | 西北 | 其他,低楼层(共29层)2009年建塔楼  -  西乡,112人关注 / 共26次带看 / 3个月以前发布,348万,单价41508元/平米,房本满两年,https://sz.lianjia.com/ershoufang/105101013087.html
西乡固戍中信 领 航精装修2房，出门107国道交通便利,中信领航  | 2室1厅 | 65.22平米 | 西南 | 其他,低楼层(共13层)2013年建板塔结合  -  西乡,144人关注 / 共62次带看 / 3个月以前发布,363万,单价55658元/平米,房本满两年,https://sz.lianjia.com/ershoufang/105100993464.html
端头位置  两面采光复式  看海景  多变户型,碧海富通城三期  | 3室1厅 | 50.01平米 | 东北 | 精装,中楼层(共24层)2007年建塔楼  -  碧海,121人关注 / 共38次带看 / 6个月以前发布,335万,单价66987元/平米,距离11号线碧海湾站1191米 | 房本满两年,https://sz.lianjia.com/ershoufang/105100846891.html
